Designator,Mid X,Mid Y,Rotation,Layer
C1,176.0,-75.75,270.0,top
C2,183.75,-77.5,270.0,top
C3,182.25,-80.5,0.0,top
C4,178.75,-80.5,180.0,top
D1,160.25,-86.85,270.0,top
D2,167.25,-86.85,270.0,top
GND1,183.0,-105.25,0.0,top
GND2,160.75,-100.75,0.0,top
GND3,168.166667,-100.75,0.0,top
GND4,175.583333,-100.75,0.0,top
GND5,183.0,-100.75,0.0,top
IGN1,160.75,-91.75,0.0,top
IGN1/4,168.166667,-105.25,0.0,top
IGN2,168.166667,-91.75,0.0,top
IGN2/3,175.583333,-105.25,0.0,top
IGN3,175.583333,-91.75,0.0,top
IGN4,183.0,-91.75,0.0,top
J1,161.98,-78.29,0.0,top
Q1,179.0,-85.75,270.0,top
R1,165.5,-83.75,180.0,top
R2,172.75,-83.75,180.0,top
R3,183.75,-85.5,90.0,top
R4,174.1,-86.6,270.0,top
U1,169.96,-77.725,180.0,top
U2,163.75,-86.5,180.0,top
U3,170.925,-86.5,180.0,top
U4,179.6375,-76.5,0.0,top
VCC1,160.75,-105.25,0.0,top
VCC2,160.75,-96.25,0.0,top
VCC3,168.166667,-96.25,0.0,top
VCC4,175.583333,-96.25,0.0,top
VCC5,183.0,-96.25,0.0,top
